Date Time,,,,Event
07/10/2000 06:00,UK,129),,Quarterly Financial Services Survey
07/10/2000 09:30,UK,130),,Culture Secretary Answers Questions in Parliament
07/11/2000 09:30,UK,131),,Transport Secretary Answers Questions in Parliament
07/11/2000 12:30,UK,132),,BOE's Wadhwani Speaks
07/12/2000 10:00,UK,133),,Prime Minister's Question Time
07/12/2000 12:30,UK,134),,BOE's Wadhwani Speaks
07/13/2000 06:30,UK,135),,Trade and Industry Secretary Answers Questions in Parliament
07/13/2000 06:45,UK,136),,UK Exchequer's Gordon Brown speaks at conference
07/13/2000 10:15,UK,137),,BoE's Allen Speaks
07/17/2000 09:30,UK,138),,Social Security Secretary Answers Questions in Parliament
07/18/2000 10:30,UK,139),,Gordon Brown Releases Comprehensive Spending Review
07/19/2000 10:00,UK,140),,Prime Minister's Question Time
07/20/2000 04:30,UK,141),,Budget Deficit Figures
07/20/2000 06:30,UK,142),,Chancellor Gordon Brown Answers Questions in Parliament
07/24/2000 09:30,UK,143),,Home Secretary Answers Questions in Parliament
07/24/2000 09:30,UK,144),,Extraordinary General Meeting: Liberty International
07/25/2000 09:30,UK,145),,Scottish Secretary Answers Questions in Parliament
07/26/2000 10:00,UK,146),,Prime Minister's Question Time
07/27/2000 06:30,UK,147),,Agriculture Secretary Answers Questions in Parliament
08/14/2000 02:00,UK,148),,BAA Announces July 2000 Traffic Figures
08/18/2000 04:30,UK,149),,Budget Deficit Figures
09/11/2000 02:00,UK,150),,BAA Announces August 2000 Traffic Figures
09/20/2000 04:30,UK,151),,Budget Deficit Figures
10/10/2000 02:00,UK,152),,BAA Announces September 2000 Traffic Figures
10/12/2000 04:50,UK,153),,Bank of England's Wadhwani Speaks
10/23/2000,UK,154),,House of Commons Resumes Session
10/24/2000 06:30,UK,155),,"Bank of England's George, ECB's Trichet Speak in Paris"
10/24/2000 09:30,UK,156),,Health Secretary Answers Questions in Parliament
10/25/2000 10:00,UK,157),,Prime Minister's Question Time
10/26/2000 06:30,UK,158),,Education Secretary Answers Questions in Parliament
10/29/2000 09:30,UK,159),,Defense Secretary Answers Questions in Parliament
10/31/2000 05:00,UK,160),,"BP, Shell, Texaco, TotalElfFina, ExxonMobil testify in parliam"
10/31/2000 09:30,UK,161),,Transport Secretary Answers Questions in Parliament
11/01/2000 05:00,UK,162),,"Road hauliers, Petrol Association testify in parliament"
11/01/2000 10:00,UK,163),,Prime Minister's Question Time
11/01/2000 11:00,UK,164),,"National Farmers Association, T&GW Union testify in parliament"
11/01/2000 11:00,UK,165),,Railtrack's Gerald Corbett testifies in parliament
11/01/2000 11:15,UK,166),,Corus Plc executives testify in parliament
11/02/2000 02:00,UK,167),,"Earnings Expected: Man Group, Boots"
11/02/2000 06:30,UK,168),,Trade and Industry Secretary Answers Questions in Parliament
11/03/2000 04:30,UK,169),,Official Reserves (Changes)
11/04/2000 11/07,UK,170),,CBI Annual Conference
11/06/2000 09:30,UK,171),,Social Security Secretary Answers Questions in Parliament
11/07/2000 09:30,UK,172),,Foreign Secretary Answers Questions in Parliament
11/08/2000 10:00,UK,173),,Prime Minister's Question Time
11/08/2000 10:30,UK,174),,Pre-Budget Report
11/09/2000 02:00,UK,175),,BAA Announces October 2000 Traffic Figures
11/09/2000 06:30,UK,176),,Chancellor Gordon Brown Answers Questions in Parliament
11/13/2000 09:30,UK,177),,Home Secretary Answers Questions in Parliament
11/14/2000 05:00,UK,178),,Oftel's David Edmonds testifies in parliament
11/14/2000 05:45,UK,179),,London Stock Exchange's Cruickshank testifies in parliament
11/15/2000 05:45,UK,180),,"Goldman Sachs' Walton, IFS' Dilnot testify in parliament"
11/15/2000 10:00,UK,181),,Prime Minister's Question Time
11/15/2000 11:00,UK,182),,Train operator representatives testify in parliament
11/15/2000 11:30,UK,183),,Millennium Dome officials testify in parliament
11/16/2000 02:00,UK,184),,"Earnings Expected: Scoot, Recognition Systems, Young & Co.'s B"
11/16/2000 06:30,UK,185),,Agriculture Secretary Answers Questions in Parliament
11/16/2000 11:00,UK,186),,Chancellor Gordon Brown testifies on BOE to parliamentary grou
11/16/2000 11:00,UK,187),,Chancellor Gordon Brown testifies on BOE to parliamentary grou
11/20/2000 04:30,UK,188),,Budget Deficit Figures
11/20/2000 09:30,UK,189),,Defense Secretary Answers Questions in Parliament
11/20/2000 11:00,UK,190),,Treasury officials testify in parliament
11/21/2000 09:30,UK,191),,Health Secretary Answers Questions in Parliament
11/22/2000 10:00,UK,192),,Prime Minister's Question Time
11/22/2000 11:00,UK,193),,Railtrack officials testify in parliament
11/22/2000 11:15,UK,194),,U.K. Chancellor Brown testifies in parliament
11/23/2000 06:30,UK,195),,Education Secretary Answers Questions in Parliament
11/27/2000 09:30,UK,196),,Culture Secretary Answers Questions in Parliament
11/28/2000 05:00,UK,197),,Ofgem's Callum McCarthy testifies in parliament
11/28/2000 09:30,UK,198),,Transport Secretary Answers Questions in Parliament
11/28/2000 13:30,UK,199),,BOE Governor Eddie George gives speech
11/28/2000 14:00,UK,200),,BOE Governor Eddie George gives speech
11/29/2000 10:00,UK,201),,Prime Minister's Question Time
11/30/2000 06:30,UK,202),,Trade and Industry Secretary Answers Questions in Parliament
12/04/2000 09:30,UK,203),,Scottish Secretary Answers Questions in Parliament
12/05/2000 04:30,UK,204),,Official Reserves (Changes)
12/06/2000 06:30,UK,205),,Industrial Production figures
12/06/2000 12:00,UK,206),,U.K. Rail Regulator testifies in parliament
12/07/2000 04:30,UK,207),,"Housing starts, Construction new orders figures"
12/11/2000 02:00,UK,208),,BAA Announces November 2000 Traffic Figures
12/12/2000 11:15,UK,209),,U.K. Minister for Europe Vaz testifies in parliament
12/20/2000 04:30,UK,210),,Budget Deficit Figures
01/04/2001 04:30,UK,211),,Official Reserves (Changes)
01/11/2001 04:30,UK,212),,"Housing starts, Construction new orders figures"
01/19/2001 04:30,UK,213),,Budget Deficit Figures
01/31/2001,UK,214),,IFS Green Budget
02/01/2001 06:30,UK,215),,Agriculture Secretary Answers Questions in Parliament
02/05/2001 04:30,UK,216),,Official Reserves (Changes)
02/05/2001 09:30,UK,217),,Home Secretary Answers Questions in Parliament
02/06/2001 05:45,UK,218),,"Willem Buiter, Alan Budd testify in parliament"
02/06/2001 09:30,UK,219),,Health Secretary Answers Questions in Parliament
02/07/2001 10:00,UK,220),,Prime Minister's Question Time
02/08/2001 04:30,UK,221),,"Housing starts, construction new orders figures"
02/08/2001 06:30,UK,222),,Education Secretary Answers Questions in Parliament
02/12/2001 09:30,UK,223),,Defense Secretary Answers Questions in Parliament
02/14/2001 10:00,UK,224),,Prime Minister's Question Time
02/15/2001 04:45,UK,225),,Parliamentary hearing into Equitable Life
02/20/2001 04:30,UK,226),,Budget Deficit Figures
02/20/2001 06:30,UK,227),,Trades Union Congress' Monks Speaks to Freight Transport Assn
02/27/2001 05:45,UK,228),,"Bank of England Governor, MPC members testify in parliament"
02/27/2001 09:30,UK,229),,Foreign Secretary Answers Questions in Parliament
02/28/2001 10:00,UK,230),,Prime Minister's Question Time
03/01/2001 06:30,UK,231),,Chancellor Gordon Brown Answers Questions in Parliament
03/07/2001 10:00,UK,232),,Prime Minister's Question Time
03/07/2001 10:30,UK,233),,Chancellor Gordon Brown presents fiscal 2002 budget
03/08/2001 04:30,UK,234),,"Housing starts, construction new orders figures"
03/08/2001 06:30,UK,235),,Agriculture Secretary Answers Questions in Parliament
03/12/2001 09:30,UK,236),,Home Secretary Answers Questions in Parliament
03/12/2001 13:30,UK,237),,WTO's Mike Moore speaks in London
03/13/2001 09:30,UK,238),,Health Secretary Answers Questions in Parliament
03/14/2001 10:00,UK,239),,Prime Minister's Question Time
03/15/2001 06:30,UK,240),,Education Secretary Answers Questions in Parliament
03/19/2001 09:30,UK,241),,Defense Secretary Answers Questions in Parliament
03/20/2001 04:30,UK,242),,Budget Deficit Figures
03/20/2001 05:45,UK,243),,Chancellor Gordon Brown testifies in parliament
03/20/2001 09:30,UK,244),,Transport Secretary Answers Questions in Parliament
03/21/2001 10:00,UK,245),,Prime Minister's Question Time
03/22/2001 06:30,UK,246),,Trade and Industry Secretary Answers Questions in Parliament
03/26/2001 03:30,UK,247),,Balance of Payments figures
03/26/2001 08:30,UK,248),,Culture Secretary Answers Questions in Parliament
03/26/2001,UK,249),,Blair attends EU leaders' summit
03/27/2001 08:30,UK,250),,Foreign Secretary Answers Questions in Parliament
03/28/2001 09:00,UK,251),,Prime Minister's Question Time
03/29/2001 05:30,UK,252),,Chancellor Gordon Brown Answers Questions in Parliament
04/02/2001 09:30,UK,253),,Social Security Secretary Answers Questions in Parliament
04/03/2001 09:30,UK,254),,Scottish Secretary Answers Questions in Parliament
04/04/2001 04:30,UK,255),,Official Reserves (Changes)
04/04/2001 10:00,UK,256),,Prime Minister's Question Time
04/05/2001 04:30,UK,257),,"Housing starts, construction new orders figures"
04/05/2001 06:30,UK,258),,Agriculture Secretary Answers Questions in Parliament
04/09/2001 09:30,UK,259),,Home Secretary Answers Questions in Parliament
04/12/2001 06:30,UK,260),,Education Secretary Answers Questions in Parliament
04/23/2001 04:30,UK,261),,Budget Deficit Figures
05/10/2001 04:30,UK,262),,Housing starts and completions
05/10/2001 04:30,UK,263),,Construction new orders figures for March
05/21/2001 04:30,UK,264),,Budget Deficit Figures
06/04/2001 01:00,UK,265),,BAA Plc Releases Fiscal 2001 Earnings
06/07/2001 04:30,UK,266),,Construction new orders figures for April
06/07/2001 04:30,UK,267),,Housing starts and completions
06/07/2001,UK,268),,Local and General Elections
06/20/2001 04:30,UK,269),,Budget Deficit Figures
06/20/2001 14:30,UK,270),,Chancellor Gordon Brown Gives Mansion House Speech
06/25/2001 10:30,UK,271),,Parliamentary debate on economy
06/26/2001 09:30,UK,272),,Health Secretary Alan Milburn Answers Questions in Parliament
06/27/2001 10:00,UK,273),,Prime Minister's Question Time
07/04/2001 10:00,UK,274),,Prime Minister's Question Time
07/05/2001 04:30,UK,275),,Housing starts and completions
07/09/2001 09:30,UK,276),,Defense Secretary Answers Questions in Parliament
07/10/2001 09:30,UK,277),,Foreign Secretary Answers Questions in Parliament
07/10/2001 10:30,UK,278),,Huntingdon Life Sciences Gives Evidence to Lords Committee
07/10/2001 11:15,UK,279),,Minister for Europe gives Evidence on Gothenburg Council
07/11/2001 10:00,UK,280),,AGM: Marks & Spencer
07/12/2001 09:30,UK,281),,Trade and Industry Secretary Answers Questions in Parliament
07/16/2001 09:30,UK,282),,"Culture, Media and Sport Questions in Parliament"
07/17/2001 09:30,UK,283),,Scottish Secretary Answers Questions in Parliament
07/19/2001 09:30,UK,284),,Chancellor Gordon Brown Answers Questions in Parliament
07/24/2001 07:30,UK,285),,BOE's Wadhwani Speaks
08/09/2001 04:30,UK,286),,Housing starts and completions
08/20/2001 04:30,UK,287),,Budget Deficit Figures
09/06/2001 04:30,UK,288),,Housing starts and completions
09/20/2001 04:30,UK,289),,Budget Deficit Figures
09/29/2001 19:01,UK,290),,U.K. Labour Party Conference
09/30/2001 19:01,UK,291),,U.K. Labour Party Conference
10/01/2001 19:01,UK,292),,U.K. Labour Party Conference
10/02/2001 19:01,UK,293),,U.K. Labour Party Conference
10/03/2001 19:01,UK,294),,U.K. Labour Party Conference
10/07/2001 19:01,UK,295),,U.K. Conservative Party Conference
10/08/2001 19:01,UK,296),,U.K. Conservative Party Conference
10/09/2001 02:00,UK,297),,Trading Statement: Marks & Spencer
10/09/2001 19:01,UK,298),,U.K. Conservative Party Conference
10/10/2001 19:01,UK,299),,U.K. Conservative Party Conference
10/11/2001 04:30,UK,300),,Housing starts and completions for August
10/15/2001 09:30,UK,301),,Work and Pensions Secretary Answers Questions in Parliament
10/17/2001 10:00,UK,302),,Prime Minister's Question Time
10/18/2001 04:30,UK,303),,Budget Deficit Figures
10/18/2001 09:30,UK,304),,"Environment, Food and Rural Affairs Questions in Parliament"
10/22/2001 09:30,UK,305),,Home Secretary Answers Questions in Parliament
10/23/2001 09:30,UK,306),,"Transport, Local Government, Regions Questions in Parliament"
10/24/2001 10:00,UK,307),,Prime Minister's Question Time
10/25/2001 08:30,UK,308),,Patricia Hewitt Speaks at International Affairs Meeting
10/30/2001 09:30,UK,309),,Foreign Secretary Answers Questions in Parliament
10/31/2001 10:00,UK,310),,Prime Minister's Question Time
11/01/2001 06:30,UK,311),,Trade and Industry Secretary Answers Questions in Parliament
11/05/2001 09:30,UK,312),,Culture Secretary Answers Questions in Parliament
11/06/2001 09:30,UK,313),,Scottish Secretary Answers Questions in Parliament
11/07/2001 10:00,UK,314),,Prime Minister's Question Time
11/08/2001 04:30,UK,315),,Housing starts and completions
11/12/2001 09:30,UK,316),,Work and Pensions Secretary Answers Questions in Parliament
11/14/2001 10:00,UK,317),,Prime Minister's Question Time
11/15/2001 09:30,UK,318),,"Environment, Food and Rural Affairs Questions in Parliament"
11/16/2001,UK,319),,Chancellor Gordon Brown gives speech in New York
11/19/2001 09:30,UK,320),,Home Secretary Answers Questions in Parliament
11/20/2001 04:30,UK,321),,Budget Deficit Figures
11/20/2001 09:30,UK,322),,"Transport, Local Government, Regions Questions in Parliament"
11/21/2001 10:00,UK,323),,Prime Minister's Question Time
11/22/2001 09:30,UK,324),,Education Secretary Answers Questions in Parliament
11/26/2001 11:30,UK,325),,Defense Secretary Geoff Hoon testifies in parliament
11/27/2001 05:45,UK,326),,"Bank of England Governor, MPC members testify in parliament"
11/27/2001 09:30,UK,327),,Foreign Secretary Answers Questions in Parliament
11/27/2001 10:30,UK,328),,Chancellor Gordon Brown gives mini-budget
11/29/2001 06:30,UK,329),,Trade and Industry Secretary Answers Questions in Parliament
12/03/2001 09:30,UK,330),,Culture Secretary Answers Questions in Parliament
12/04/2001 09:30,UK,331),,Scottish Secretary Answers Questions in Parliament
12/05/2001 10:00,UK,332),,Prime Minister's Question Time
12/06/2001 04:30,UK,333),,Housing starts and completions
12/10/2001 09:30,UK,334),,Work and Pensions Secretary Answers Questions in Parliament
12/12/2001 10:00,UK,335),,Prime Minister's Question Time
12/13/2001 09:30,UK,336),,"Environment, Food and Rural Affairs Questions in Parliament"
12/17/2001 09:30,UK,337),,Home Secretary Answers Questions in Parliament
12/18/2001 09:30,UK,338),,"Transport, Local Government, Regions Questions in Parliament"
12/19/2001 10:00,UK,339),,Prime Minister's Question Time
12/20/2001 04:30,UK,340),,Budget Deficit Figures
12/20/2001 09:30,UK,341),,Education Secretary Answers Questions in Parliament
01/01/2002 22:30,UK,342),,Chancellor of the Exchequer gives Pre-Budget Statement
01/10/2002 04:30,UK,343),,Housing starts and completions
03/06/2002 02:30,UK,344),,U.K. Civil Aviation Authority Gives BAA Fee Proposal Details
03/20/2002 04:30,UK,345),,Budget Deficit Figures
04/16/2002 06:00,UK,346),,EU Rules by Today on Carnival's Bid for P&O Princess Cruises
05/21/2002 04:30,UK,347),,Budget Deficit Figures
06/24/2002 04:30,UK,348),,Budget Deficit Figures
07/15/2002,UK,349),,UK's Brown delivers spending plans to House of Commons
07/28/2002 04:30,UK,350),,Budget Deficit Figures
08/20/2002 04:30,UK,351),,Budget Deficit Figures
09/19/2002 04:30,UK,352),,"Retail Sales, Budget Deficit Figures"
09/19/2002 06:20,UK,353),,MPC Member Christopher Allsopp speaks
09/20/2002 05:00,UK,354),,BOE Governor Sir Edward George speaks
10/18/2002 04:30,UK,355),,Budget Deficit Figures
10/22/2002 07:00,UK,356),,Birmingham (England) International Motor Show
11/06/2002 07:00,UK,357),,October Car Sales Released by SMMT
11/26/2002 22:30,UK,358),,Chancellor of the Exchequer Gives Pre-Budget Statement
01/05/2003 07:30,UK,359),,U.K. Parliament Returns from Recess
03/18/2003 04:30,UK,360),,House of Commons Vote on Use of Military Action Against Iraq
04/02/2003 04/04,UK,361),,Annual Russian Economic Forum
06/12/2003 08:30,UK,362),,London Mayor Ken Livingstone Meets Members of Foreign Press
06/17/2003 04:00,UK,363),,U.K.'s Brown Speaks to Euromoney Conference
06/17/2003 11:00,UK,364),,U.K.'s Blair Speaks About Public Services Reform
06/18/2003 06:00,UK,365),,U.K.'s Straw Briefs Journalists on EU Summit
06/18/2003 07:00,UK,366),,U.K.'s Blair Takes Questions from Parliament
06/18/2003 07:30,UK,367),,U.K.'s Blair Comments on Constitutional Changes
06/18/2003 16:00,UK,368),,"U.K.'s Brown, BOE's George Speak at Mansion House"
06/24/2003 04:30,UK,369),,Bank of England's George Comments on Inflation
06/24/2003 07:00,UK,370),,U.K.'s Brown Speaks to Labour Party Friends of Israel
06/25/2003 05:00,UK,371),,U.K.'s Brown Speaks at Amicus conference in Blackpool
06/25/2003 09:30,UK,372),,U.K. Debt Management Office testifies to lawmakers
06/25/2003 14:00,UK,373),,"Russia's Putin Speaks at Guildhall Banquet, London"
07/01/2003 04:00,UK,374),,U.K. Consumers Association testifies about credit cards
07/01/2003 09:30,UK,375),,U.K.'s Brown speaks to Transport & General Workers Union
07/02/2003 09:30,UK,376),,U.K.'s Primarolo testifies to lawmakers
07/04/2003 07:00,UK,377),,U.K.'s Brown speaks to local government association
07/07/2003 05:00,UK,378),,U.K. Foreign Affairs Committee reports on Iraq dossier
07/08/2003 04:00,UK,379),,"U.K.'s Blair Testifies to Parliamentary Committee, London"
07/08/2003 04:00,UK,380),,U.K.'s Boateng speaks at conference of accountants
07/09/2003 09:30,UK,381),,U.K.'s Nationwide Building Society testifies to parliament
07/09/2003 11:30,UK,382),,"Chief Economic Adviser to the Treasury, Ed Balls Speaks"
07/10/2003 06:30,UK,383),,U.K.'s Brown debates in the House of Commons
07/14/2003 09:30,UK,384),,U.K.'s GE Capital Bank testify to parliament
07/29/2003 06:00,UK,385),,U.K. Government Auction of 5% Treasury Stock 2014
08/14/2003 06:00,UK,386),,U.K. Government Auction of 4% Treasury Stock 2009
08/26/2003 05:30,UK,387),,U.K.'s Scarlett Testifies at Hutton Inquiry
08/27/2003 05:30,UK,388),,U.K.'s Hoon Testifies to Hutton Inquiry
08/28/2003 05:30,UK,389),,"U.K.'s Blair, BBC's Davies, testify at Hutton Inquiry"
08/28/2003 09:00,UK,390),,Bank of England's Tucker speaks in Leeds
09/04/2003 06:00,UK,391),,U.K.'s Blair holds monthly press conference
09/08/2003 04:30,UK,392),,U.K. Parliament returns from recess
09/09/2003 04:30,UK,393),,"U.K.'s Brown, Hewitt Address Trades Union Congress"
09/09/2003 04:30,UK,394),,U.K. government testifies on credit card lending
09/10/2003 06:00,UK,395),,U.K. Government Auction of 4.25% Treasury Stock 2036
09/10/2003 09:30,UK,396),,U.K. Treasury Officials testify to parliament
09/12/2003 05:30,UK,397),,U.K. GDP revisions released
09/18/2003 04:30,UK,398),,Bank of England's King speaks about inflation report
09/23/2003 06:00,UK,399),,U.K. Government Auction of 2% Index Linked Treasury Stock 2035
10/14/2003 15:00,UK,400),,Bank of England's King Speaks in Leicester
10/15/2003 09:30,UK,401),,Head of Statistics Office Appears Before Law Makers
