,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Tinto PLC (RIO LN) - BBG GAAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022 Est,FY 2023 Est
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0.4,0.4,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
  - Other Adjustments,OTHER_ADJUSTMENTS,—,—,—,—,0.0,—,—,—,—,—,0.0,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,774.6,814.6,700.6,743.7,422.3,791.7,995.0,751.0,433.8,923.0,"1,799.7","2,891.0","4,038.2","3,655.9","2,006.4","3,122.8","9,220.0","3,633.8","-1,910.8","2,344.0","3,965.0",-566.8,"3,420.0","6,805.4","10,228.6","6,278.0","7,616.9","15,337.2","12,355.8","9,202.3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,774.6,814.6,700.6,743.7,422.3,791.7,995.0,751.0,433.8,923.0,"1,799.7","2,891.0","4,038.2","3,655.9","2,006.4","3,498.3","9,120.4","9,147.0","6,482.2","6,114.3","4,227.5","1,479.6","4,309.4","6,710.0","6,612.0","6,973.2","9,946.4","15,539.6","12,951.5","9,503.7"
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,—,—,—,—,—,—,—,—,—,-77.1,-339.5,—,—,95.5,"2,445.3",87.7,-162.4,"5,507.0","8,388.6","3,770.3",262.4,"2,714.0",889.5,-95.4,"-3,616.5",695.1,"2,329.6",202.4,,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,-7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,—,0.0,0.0,—,0.0,—,451.4,287.8,62.8,6.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,"1,687.4","1,689.6","1,693.4","1,694.9","1,682.6","1,658.4","1,662.0","1,664.4","1,666.9","1,668.1","1,669.5","1,651.2","1,614.1","1,556.5","1,553.7","1,763.6","1,961.0","1,923.1","1,849.1","1,847.3","1,848.4","1,824.7","1,797.3","1,786.7","1,719.3","1,630.1","1,617.4","1,618.4",,
"Basic EPS, GAAP",IS_EPS,0.46,0.48,0.41,0.44,0.25,0.48,0.60,0.45,0.26,0.55,1.08,1.74,2.50,2.35,1.29,1.77,4.70,1.89,-1.03,1.27,2.15,-0.31,1.90,3.81,5.95,3.85,4.71,9.48,7.57,5.72
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.46,0.50,0.41,0.44,0.25,0.48,0.60,0.45,0.26,0.55,1.08,1.74,2.50,2.35,1.58,1.93,4.73,1.89,-1.03,1.27,2.15,-0.31,1.90,3.81,5.95,3.85,4.71,9.48,7.57,5.72
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.44,0.54,0.41,0.44,0.25,0.48,0.60,0.69,0.61,0.51,0.87,1.74,2.50,2.41,3.16,1.98,4.65,4.76,3.51,3.31,2.29,1.18,2.40,3.76,3.85,4.28,6.15,9.60,8.05,6.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,—,—,—,—,"1,682.6","1,659.6","1,663.2","1,666.9","1,666.9","1,668.1","1,672.2","1,656.6","1,620.6","1,563.1","1,560.7","1,769.6","1,972.6","1,935.5","1,849.1","1,857.7","1,858.7","1,824.7","1,808.6","1,799.5","1,731.7","1,642.1","1,628.6","1,628.9",,
"Diluted EPS, GAAP",IS_DILUTED_EPS,—,—,—,—,0.25,—,—,—,0.26,0.55,1.08,1.73,2.49,2.34,1.29,1.76,4.67,1.88,-1.03,1.26,2.13,-0.31,1.89,3.78,5.91,3.82,4.68,9.42,7.57,5.72
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,—,—,—,—,0.25,—,—,—,—,0.55,1.08,1.73,2.49,2.34,1.57,1.93,4.71,1.88,-1.03,1.26,2.13,-0.31,1.89,3.78,5.91,3.82,4.68,9.42,7.57,5.72
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,—,—,—,—,0.25,—,—,—,0.61,0.51,0.87,1.73,2.49,2.40,3.14,1.98,4.62,4.73,3.51,3.29,2.27,1.18,2.38,3.73,3.82,4.25,6.11,9.54,8.05,6.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,GB GAAP,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,,
EBITDA,EBITDA,"1,340.0","1,712.0","1,240.0","1,390.0","1,169.3","1,515.0","1,987.0","2,188.0","1,189.5","1,531.5","2,115.8","4,364.9","5,452.0","5,244.4","10,144.1","7,086.6","14,920.5","11,023.0","1,701.9","7,861.4","9,865.4","5,578.4","8,556.2","14,329.2","16,318.6","12,422.8","16,457.9","25,094.7","24,336.7","19,322.1"
EBITDA Margin (T12M),EBITDA_MARGIN,29.48,35.07,27.37,30.62,27.25,34.10,38.23,38.64,21.14,27.11,29.92,41.67,44.70,35.32,34.25,26.43,41.76,29.19,5.29,24.02,34.07,24.47,34.19,46.09,53.69,36.72,47.32,54.36,57.96,52.09
EBITA,EBITA,885.0,"1,169.0",776.0,935.0,902.6,"1,038.0","1,455.0","1,599.0",—,—,"1,487.0","3,641.2","4,669.1","4,243.9","8,481.6","5,138.0","12,933.8","8,838.1","-1,020.4","4,960.4","7,057.1","2,673.7","5,173.3","11,068.7","13,407.1","9,091.0","13,247.1","21,809.0",,
EBIT,EBIT,903.0,"1,284.0",776.0,935.0,724.0,"1,017.0","1,427.0","1,543.0",553.8,915.7,"1,476.6","3,630.7","4,654.5","4,186.9","8,247.4","4,890.0","12,694.8","8,642.3","-1,216.0","4,797.3","6,913.1","2,538.2","5,005.1","10,931.2","13,307.3","8,986.8","13,121.5","21,679.6","19,530.2","14,406.1"
Operating Margin,OPER_MARGIN,19.86,26.31,17.13,20.60,16.87,22.89,27.45,27.25,9.84,16.21,20.88,34.66,38.16,28.20,27.85,18.24,35.53,22.89,-3.78,14.66,23.88,11.13,20.00,35.16,43.79,26.56,37.72,46.96,46.51,38.84
Profit Margin,PROF_MARGIN,17.05,16.70,15.47,16.39,9.84,17.83,19.14,13.26,7.71,16.34,25.45,27.60,33.11,24.62,6.77,11.65,25.81,9.62,-5.94,7.16,13.69,-2.49,13.67,21.89,33.66,18.56,21.90,33.22,30.85,25.62
Current Profit,CUR_PROFIT_JAPAN,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"25,464.7","17,519.1"
Sales per Employee,ACTUAL_SALES_PER_EMPL,"102,159.60","140,407.91","143,919.18","158,867.38","123,272.91","131,504.17","151,109.04","188,588.75","192,884.14","156,831.89","218,072.76","328,842.36","346,055.21","287,356.03",—,"262,844.88","464,623.31","555,839.66","451,366.17","493,381.21","484,396.78","415,318.76","490,361.21","664,239.18","640,391.49","735,358.45","732,676.49","935,585.90",,
Dividends per Share,EQY_DPS,0.23,0.26,0.26,0.26,0.18,0.28,0.32,0.34,0.66,0.32,0.35,0.36,0.47,0.56,0.37,0.29,0.70,0.90,1.05,1.23,1.31,1.41,1.00,1.65,1.75,2.36,3.62,5.77,5.96,4.31
Total Cash Common Dividends,IS_TOT_CASH_COM_DVD,293.0,337.0,443.6,443.7,293.4,464.7,521.0,564.0,"1,250.9",539.9,579.7,595.5,776.4,864.5,578.4,565.3,"1,372.2","1,694.9","1,946.4","2,269.8","2,430.8","2,545.2","1,790.5","2,896.5","5,150.3","4,454.9","7,027.3","10,066.6",,
Capitalized Interest Expense,IS_CAP_INT_EXP,13.0,36.0,26.0,37.0,16.3,15.0,7.0,15.0,14.7,23.9,19.1,15.4,32.6,61.0,110.8,126.9,117.9,307.5,483.4,465.0,285.5,166.2,82.2,174.0,222.0,251.6,265.1,260.3,,
Personnel Expenses,IS_PERSONNEL_EXP,732.0,780.0,781.0,732.0,413.9,710.0,743.0,806.0,891.0,971.4,909.4,"1,098.0","1,352.4","1,793.5","3,604.1","3,972.7","4,148.3","4,308.7","5,471.6","4,840.1","4,045.2","3,564.5","3,615.5","3,700.9","3,546.0","3,544.2","3,719.2","4,008.4",,
Export Sales,IS_EXPORT_SALES,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"33,637.3","34,594.4","45,989.8",,
Depreciation Expense,IS_DEPR_EXP,455.0,543.0,464.0,455.0,266.7,477.0,532.0,589.0,—,—,628.8,723.7,782.9,"1,000.5","1,662.6","1,948.6","1,986.7","2,184.9","2,722.3","2,901.0","2,808.4","2,904.7","3,382.9","3,260.6","2,911.5","3,331.8","3,210.8","3,285.7",,
Rental Expense,BS_CURR_RENTAL_EXPENSE,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,268.8,269.0,391.2,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
