,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antofagasta PLC (ANTO LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
    Switzerland,,?,,215.3,10.2%,160.9,8.4%,204.1,9.9%,223.1,11.1%,69.0,2.2%,134.5,3.4%,48.8,1.1%,92.0,2.3%,84.1,2.6%,114.7,5.4%,161.3,6.0%,648.6,17.6%,440.3,12.4%,480.0,12.3%,462.8,11.6%,947.9,17.5%
    Rest of Europe,,344.7,32.3%,476.2,22.7%,371.0,19.4%,329.1,16.0%,242.0,12.1%,430.8,14.0%,450.5,11.5%,243.3,5.5%,148.6,3.7%,83.6,2.6%,45.1,2.1%,116.5,4.3%,88.7,2.4%,98.8,2.8%,66.6,1.7%,72.0,1.8%,129.0,2.4%
    Germany,,?,,?,,?,,?,,?,,?,,?,,15.4,0.3%,93.6,2.3%,88.8,2.8%,109.3,5.2%,28.5,1.1%,108.3,2.9%,88.0,2.5%,80.5,2.1%,90.8,2.3%,88.3,1.6%
    Spain,,?,,?,,?,,?,,?,,?,,?,,142.4,3.2%,133.2,3.3%,97.6,3.0%,35.4,1.7%,85.6,3.2%,127.0,3.4%,114.7,3.2%,123.8,3.2%,22.8,0.6%,49.2,0.9%
    United Kingdom,,17.2,1.6%,4.4,0.2%,0.0,0.0%,2.0,0.1%,94.9,4.7%,?,,?,,22.2,0.5%,10.1,0.3%,5.0,0.2%,12.5,0.6%,0.0,,36.2,1.0%,94.0,2.6%,119.4,3.1%,96.1,2.4%,39.6,0.7%
  North America,,?,,256.6,12.2%,255.7,13.4%,217.7,10.6%,104.8,5.2%,116.9,3.8%,143.4,3.6%,163.4,3.7%,204.7,5.1%,81.2,2.5%,68.9,3.3%,36.7,1.4%,161.1,4.4%,149.6,4.2%,69.7,1.8%,168.8,4.2%,484.6,8.9%
  Latin America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,156.8,7.4%,171.6,6.4%,257.9,7.0%,241.5,6.8%,242.3,6.2%,316.9,7.9%,361.1,6.6%
    Chile,,173.4,16.2%,221.2,10.5%,188.9,9.9%,229.0,11.1%,178.3,8.9%,208.7,6.8%,227.5,5.8%,244.0,5.5%,240.0,6.0%,130.8,4.1%,108.3,5.1%,77.9,2.9%,160.7,4.4%,186.1,5.2%,167.6,4.3%,175.0,4.4%,205.0,3.8%
    Rest of Latin America,,?,,89.7,4.3%,95.1,5.0%,136.8,6.6%,106.5,5.3%,148.7,4.8%,129.9,3.3%,149.8,3.4%,119.2,3.0%,97.8,3.0%,48.5,2.3%,93.6,3.5%,97.2,2.6%,55.4,1.6%,74.7,1.9%,141.9,3.5%,156.1,2.9%
  Brazil,,34.7,3.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia,,?,,2.0,0.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Rest of North America,,?,,?,,?,,9.0,0.4%,7.5,0.4%,2.5,0.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  United States,,102.7,9.6%,?,,?,,208.7,10.1%,97.3,4.9%,114.4,3.7%,143.4,3.6%,163.4,3.7%,204.7,5.1%,81.2,2.5%,?,,?,,?,,?,,?,,?,,?,
EBITDA,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,300.9",100.0%,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,300.9",100.0%,?,,?,,?,,?,,?,,?,,?,
Operating Income,,843.6,100.0%,"1,522.4",100.0%,"1,326.7",100.0%,935.7,100.0%,935.2,100.0%,"1,680.1",100.0%,"1,916.9",100.0%,"1,813.3",100.0%,"1,389.2",100.0%,962.0,100.0%,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,843.6,100.0%,"1,522.4",100.0%,"1,326.7",100.0%,935.7,100.0%,935.2,100.0%,"1,680.1",100.0%,"1,916.9",100.0%,"1,813.3",100.0%,"1,389.2",100.0%,962.0,100.0%,?,,?,,?,,?,,?,,?,,?,
Assets,,"2,199.1",100.0%,"2,626.1",100.0%,"2,953.3",100.0%,"5,457.9",100.0%,"5,889.6",100.0%,"7,432.4",100.0%,"7,547.4",100.0%,"7,920.1",100.0%,"7,478.9",100.0%,"8,224.8",100.0%,?,,?,,?,,?,,?,,?,,?,
  Reconciliation_Geo,,776.7,35.3%,944.6,36.0%,"1,141.6",38.7%,"2,391.8",43.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other,,0.5,0.0%,62.3,2.4%,60.5,2.0%,13.4,0.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Bolivia,,14.1,0.6%,15.6,0.6%,17.9,0.6%,26.7,0.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Pakistan,,?,,?,,?,,95.3,1.7%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,?,,?,,?,,?,,"5,889.6",100.0%,"7,432.4",100.0%,"7,547.4",100.0%,"7,920.1",100.0%,"7,478.9",100.0%,"8,224.8",100.0%,?,,?,,?,,?,,?,,?,,?,
  Chile,,"1,407.8",64.0%,"1,603.7",61.1%,"1,733.3",58.7%,"2,930.7",53.7%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Long-Term Assets,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,263.1",100.0%,"7,738.6",100.0%,"8,333.4",100.0%,"8,297.3",100.0%,"8,256.5",100.0%,"8,656.2",100.0%
  Chile,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,097.4",98.0%,"7,579.3",97.9%,"8,197.9",98.4%,"8,163.9",98.4%,"8,125.9",98.4%,"8,655.5",100.0%
  United States,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,165.6,2.0%,159.3,2.1%,135.4,1.6%,133.3,1.6%,130.6,1.6%,0.7,0.0%
  Other,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.1,0.0%,0.1,0.0%,0.1,0.0%,0.1,0.0%,0.0,,0.0,
Liabilities,,591.5,100.0%,587.2,100.0%,478.6,100.0%,"1,044.5",100.0%,"1,791.6",100.0%,"2,605.3",100.0%,"2,513.3",100.0%,"2,499.1",100.0%,"2,249.2",100.0%,"3,068.1",100.0%,?,,?,,?,,?,,?,,?,,?,
  Reconciliation_Geo,,465.2,78.6%,457.9,78.0%,332.1,69.4%,594.8,56.9%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other,,?,,0.9,0.2%,2.3,0.5%,1.1,0.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Bolivia,,1.5,0.2%,2.4,0.4%,1.7,0.3%,2.3,0.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Pakistan,,?,,?,,?,,5.4,0.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,?,,?,,?,,?,,"1,791.6",100.0%,"2,605.3",100.0%,"2,513.3",100.0%,"2,499.1",100.0%,"2,249.2",100.0%,"3,068.1",100.0%,?,,?,,?,,?,,?,,?,,?,
  Chile,,124.9,21.1%,125.9,21.4%,142.5,29.8%,441.0,42.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Depreciation and Amortization,,73.9,100.0%,78.7,100.0%,81.1,100.0%,98.4,100.0%,139.4,100.0%,179.4,100.0%,269.3,100.0%,311.9,100.0%,331.1,100.0%,353.4,100.0%,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,73.9,100.0%,78.7,100.0%,81.1,100.0%,98.4,100.0%,139.4,100.0%,179.4,100.0%,269.3,100.0%,311.9,100.0%,331.1,100.0%,353.4,100.0%,?,,?,,?,,?,,?,,?,,?,
Capital Expenditures,,-44.7,,-292.6,,-233.0,,-649.3,,-855.9,,-897.4,,-482.1,,-633.2,,-932.9,,-960.4,,?,,?,,?,,?,,?,,?,,?,
  Other,,?,,-0.4,0.1%,-1.0,0.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Bolivia,,-0.6,1.2%,-4.5,1.5%,-3.3,1.4%,-2.2,0.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Pakistan,,?,,?,,?,,-8.4,1.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Worldwide,,?,,?,,?,,?,,-855.9,100.0%,-897.4,100.0%,-482.1,100.0%,-633.2,100.0%,-932.9,100.0%,-960.4,100.0%,?,,?,,?,,?,,?,,?,,?,
  Chile,,-44.1,98.8%,-287.7,98.3%,-228.6,98.1%,-638.7,98.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
