,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American PLC (AAL LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
  South Africa,,"2,905.9",17.9%,"2,588.1",19.1%,"2,007.0",15.8%,"1,642.4",11.4%,"6,597.5",49.3%,"10,173.9",56.2%,"11,136.5",58.4%,"9,208.0",41.5%,?,,"1,496.8",9.1%,"1,154.6",7.7%,"1,207.4",7.0%,"1,457.1",6.5%,"1,099.5",4.9%,632.5,2.5%,420.3,2.0%,"1,038.3",3.3%
  Brazil,,?,,?,,?,,?,,?,,?,,?,,803.9,3.6%,?,,?,,?,,503.0,2.9%,327.8,1.5%,287.3,1.3%,342.5,1.4%,336.8,1.6%,529.3,1.7%
  Chile,,?,,?,,?,,?,,?,,?,,?,,"3,232.1",14.6%,?,,?,,?,,356.3,2.1%,335.5,1.5%,405.0,1.8%,449.9,1.8%,391.4,1.9%,517.7,1.6%
  Other South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,8.9,0.1%,7.0,0.0%,26.3,0.1%,55.6,0.2%,16.4,0.1%,47.3,0.2%
  Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,391.5",55.7%,121.5,0.7%,31.8,0.1%,35.3,0.2%,179.5,0.7%,9.4,0.0%,32.0,0.1%
  Associates & Joint Ventures,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"-2,378.3",-14.5%,?,,?,,?,,?,,?,,?,,?,
  Unallocated Investments In Associates,,?,,?,,?,,?,,"-2,422.2",-18.1%,"-3,217.7",-17.8%,"-3,722.4",-19.5%,"-2,539.3",-11.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Europe,,"7,500.8",46.3%,"4,963.4",36.6%,"5,358.9",42.1%,"5,439.7",37.9%,"1,907.5",14.3%,"1,668.8",9.2%,"1,446.4",7.6%,"1,410.3",6.4%,?,,"4,926.0",30.0%,"3,484.6",23.1%,?,,?,,?,,?,,?,,?,
  Australia &  Asia,,"3,058.3",18.9%,"3,361.8",24.8%,"3,164.4",24.8%,"4,825.1",33.6%,"2,101.7",15.7%,"2,681.6",14.8%,"3,154.8",16.5%,"2,912.8",13.1%,?,,"9,439.6",57.4%,?,,?,,?,,?,,?,,?,,?,
  South America,,948.3,5.9%,"1,518.5",11.2%,"1,272.5",10.0%,"1,595.4",11.1%,"3,871.5",29.0%,"4,851.5",26.8%,"4,951.1",26.0%,"4,749.8",21.4%,?,,"1,211.9",7.4%,822.7,5.5%,?,,?,,?,,?,,?,,?,
Operating Income,,?,,?,,?,,"6,369.8",100.0%,"3,958.0",100.0%,"6,322.2",100.0%,"5,887.3",100.0%,-128.1,,-113.8,,?,,?,,?,,?,,?,,?,,?,,?,
  Corporate Activities & Unallocated Costs,,?,,?,,?,,-72.6,-1.1%,16.7,0.4%,?,,?,,-128.1,100.0%,-113.8,100.0%,?,,?,,?,,?,,?,,?,,?,,?,
  Reconciliation,,?,,?,,?,,"2,086.1",32.8%,764.0,19.3%,?,,"-1,032.9",-17.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  North America,,?,,?,,?,,-18.0,-0.3%,-12.8,-0.3%,9.1,0.1%,159.7,2.7%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Europe,,?,,?,,?,,-123.4,-1.9%,-34.6,-0.9%,-51.8,-0.8%,-177.1,-3.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia &  Asia,,?,,?,,?,,590.6,9.3%,397.4,10.0%,589.9,9.3%,822.1,14.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Africa,,?,,?,,?,,42.6,0.7%,50.0,1.3%,324.4,5.1%,312.5,5.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South America,,?,,?,,?,,"1,425.7",22.4%,"1,480.6",37.4%,"2,212.1",35.0%,"2,024.0",34.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South Africa,,?,,?,,?,,"2,438.7",38.3%,"1,296.7",32.8%,"3,238.5",51.2%,"3,779.1",64.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Assets,,"36,030.1",100.0%,"19,918.4",100.0%,"22,575.8",100.0%,"42,481.0",100.0%,"42,412.1",100.0%,"42,752.9",100.0%,"46,709.7",100.0%,"48,866.5",100.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Corporate Activities & Unallocated Costs,,?,,102.8,0.5%,113.0,0.5%,152.3,0.4%,190.1,0.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Investments In Associates,,?,,?,,?,,"2,478.2",5.8%,?,,"3,142.8",7.4%,"3,378.7",7.2%,"1,885.9",3.9%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Non-Operating Assets,,731.9,2.0%,?,,?,,"1,132.8",2.7%,"1,034.8",2.4%,973.6,2.3%,798.2,1.7%,862.6,1.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Financial Assets,,541.1,1.5%,?,,?,,258.0,0.6%,373.4,0.9%,540.1,1.3%,541.6,1.2%,522.1,1.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Assets Classified Held For Sale,,?,,?,,?,,?,,?,,?,,?,,"1,939.4",4.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Unallocated Investments In Associates,,"1,841.5",5.1%,?,,?,,?,,"2,051.0",4.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Financial Asset Investments,,532.4,1.5%,?,,?,,"2,255.9",5.3%,"1,690.0",4.0%,"2,065.3",4.8%,"1,867.3",4.0%,"1,465.3",3.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Deferred Tax Assets,,196.1,0.5%,?,,?,,177.0,0.4%,178.4,0.4%,249.5,0.6%,341.7,0.7%,753.0,1.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Cash & Cash Equivalents,,"1,995.7",5.5%,?,,?,,"1,901.2",4.5%,"2,024.4",4.8%,"4,105.6",9.6%,"7,564.6",16.2%,"5,599.1",11.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Asset & Liabilities,,"5,838.7",16.2%,"2,465.0",12.4%,"6,866.4",30.4%,"8,203.1",19.3%,"7,352.0",17.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  United Kingdom,,?,,?,,?,,249.7,0.6%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  North America,,290.9,0.8%,200.4,1.0%,234.5,1.0%,431.6,1.0%,498.5,1.2%,391.9,0.9%,504.2,1.1%,"1,539.2",3.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Europe,,"5,846.3",16.2%,"5,788.4",29.1%,"2,853.7",12.6%,"2,775.3",6.5%,"2,365.6",5.6%,"2,099.3",4.9%,"1,959.5",4.2%,"1,727.6",3.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia &  Asia,,"1,789.7",5.0%,"1,306.6",6.6%,"1,605.4",7.1%,"2,412.3",5.7%,"2,669.1",6.3%,"3,110.1",7.3%,"3,514.1",7.5%,"3,632.6",7.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Africa,,"2,410.0",6.7%,378.0,1.9%,265.3,1.2%,?,,411.2,1.0%,241.8,0.6%,248.2,0.5%,"5,118.2",10.5%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South America,,"2,981.3",8.3%,"2,372.6",11.9%,"3,637.5",16.1%,"10,763.6",25.3%,"10,235.3",24.1%,"12,175.0",28.5%,"14,150.5",30.3%,"11,412.4",23.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South Africa,,"11,034.5",30.6%,"7,304.7",36.7%,"7,000.1",31.0%,"9,289.9",21.9%,"11,338.2",26.7%,"13,657.9",31.9%,"11,840.9",25.3%,"12,409.2",25.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,
Long-Term Assets,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"27,761.0",100.0%,"26,879.6",100.0%,"28,558.0",100.0%,"29,903.5",100.0%,"30,629.3",100.0%,"35,520.5",100.0%
  South Africa,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,495.7",30.6%,"8,605.4",32.0%,"7,987.6",28.0%,"8,134.7",27.2%,"7,870.5",25.7%,"7,524.9",21.2%
  Brazil,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,701.5",16.9%,"4,236.2",15.8%,"4,621.8",16.2%,"5,335.1",17.8%,"4,773.3",15.6%,"5,954.2",16.8%
  Peru,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,779.9",9.3%,"3,660.5",12.0%,"5,120.8",14.4%
  Chile,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,932.4",17.8%,"4,645.1",17.3%,"4,895.7",17.1%,"4,911.4",16.4%,"4,799.6",15.7%,"5,039.5",14.2%
  United Kingdom,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,070.1",3.9%,922.1,3.4%,"1,085.0",3.8%,"1,176.2",3.9%,"2,050.4",6.7%,"2,755.1",7.8%
  Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,620.6",7.4%
  Australia &  Asia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,985.4",7.2%,"2,068.9",7.7%,"3,019.0",10.6%,"2,852.3",9.5%,"3,055.5",10.0%,"2,620.6",7.4%
  Botswana,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,455.7",12.4%,"3,354.0",12.5%,"3,193.9",11.2%,"3,012.9",10.1%,"2,804.9",9.2%,"2,503.1",7.0%
  Other Africa,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,830.3,3.0%,833.3,3.1%,815.2,2.9%,826.4,2.8%,789.7,2.6%,846.7,2.4%
  North America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,637.5,2.3%,546.4,2.0%,505.3,1.8%,478.0,1.6%,475.4,1.6%,458.8,1.3%
  Other Europe,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,101.3,0.4%,94.6,0.4%,65.9,0.2%,59.6,0.2%,80.6,0.3%,74.6,0.2%
  Other South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,551.2",5.6%,"1,573.5",5.9%,"2,368.6",8.3%,337.0,1.1%,268.8,0.9%,1.5,0.0%
Liabilities,,"24,740.8",100.0%,"17,320.7",100.0%,"18,421.3",100.0%,"35,246.7",100.0%,"32,796.6",100.0%,"18,398.4",100.0%,"18,862.0",100.0%,436.5,100.0%,369.4,100.0%,?,,?,,?,,?,,?,,?,,?,,?,
  Corporate Activities & Unallocated Costs,,?,,207.6,1.2%,?,,199.7,0.6%,252.0,0.8%,?,,?,,436.5,100.0%,369.4,100.0%,?,,?,,?,,?,,?,,?,,?,,?,
  Other Provisions,,207.1,0.8%,175.1,1.0%,147.8,0.8%,373.2,1.1%,382.1,1.2%,517.6,2.8%,557.1,3.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Non-Operating Liabilities,,"1,408.0",5.7%,"1,708.4",9.9%,"1,141.9",6.2%,"1,725.6",4.9%,"1,317.8",4.0%,"1,432.2",7.8%,"1,750.6",9.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Financial Liabilities,,"1,043.8",4.2%,268.6,1.6%,295.6,1.6%,"1,027.1",2.9%,408.1,1.2%,535.6,2.9%,717.0,3.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Deferred Tax Liabilities,,"3,026.1",12.2%,"1,738.9",10.0%,"2,345.3",12.7%,"3,125.2",8.9%,"3,215.3",9.8%,"3,618.1",19.7%,"3,694.6",19.6%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Borrowings,,"4,910.1",19.8%,"3,226.8",18.6%,"4,185.7",22.7%,"9,602.1",27.2%,"8,864.9",27.0%,"8,619.7",46.9%,"8,300.3",44.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Asset & Liabilities,,"10,595.2",42.8%,"7,281.9",42.0%,"8,116.2",44.1%,"15,848.4",45.0%,"15,057.0",45.9%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  North America,,34.3,0.1%,55.8,0.3%,53.5,0.3%,81.6,0.2%,81.7,0.2%,24.4,0.1%,69.0,0.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Europe,,"1,120.6",4.5%,959.6,5.5%,533.1,2.9%,624.4,1.8%,561.7,1.7%,395.1,2.1%,520.3,2.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia &  Asia,,341.5,1.4%,260.3,1.5%,276.9,1.5%,516.6,1.5%,503.5,1.5%,545.8,3.0%,614.5,3.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Africa,,173.4,0.7%,42.3,0.2%,16.1,0.1%,20.6,0.1%,40.9,0.1%,16.7,0.1%,12.9,0.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South America,,315.9,1.3%,333.6,1.9%,471.6,2.6%,981.8,2.8%,781.5,2.4%,887.7,4.8%,936.2,5.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South Africa,,"1,564.6",6.3%,"1,061.8",6.1%,837.7,4.5%,"1,120.4",3.2%,"1,330.2",4.1%,"1,805.5",9.8%,"1,689.3",9.0%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Capital Expenditures,,"-1,886.6",,"-2,178.7",,"-3,575.9",,"-8,108.8",,-17.3,,?,,?,,-14.5,,-27.5,,?,,?,,?,,?,,?,,?,,?,,?,
  Corporate Activities & Unallocated Costs,,?,,?,,?,,-22.4,0.3%,-17.3,100.0%,?,,?,,-14.5,100.0%,-27.5,100.0%,?,,?,,?,,?,,?,,?,,?,,?,
  North America,,-15.4,0.8%,-109.7,5.0%,-75.5,2.1%,-106.4,1.3%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Europe,,-362.1,19.2%,-503.3,23.1%,-263.0,7.4%,-258.7,3.2%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia &  Asia,,-150.8,8.0%,-311.1,14.3%,-336.0,9.4%,-684.5,8.4%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Other Africa,,-143.6,7.6%,-40.7,1.9%,-32.0,0.9%,-8.7,0.1%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South America,,-174.5,9.2%,-163.4,7.5%,"-1,218.0",34.1%,"-4,931.5",60.8%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  South Africa,,"-1,040.2",55.1%,"-1,050.6",48.2%,"-1,651.5",46.2%,"-2,096.5",25.9%,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
Amount Produced (in Metric Tonnes),,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"24,262.9",,"16,821.9",,"14,907.7",
    Capcoal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"6,264.2",,"5,614.9",,"5,992.9",
    Jellinbah,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,220.9",,"3,241.3",,"3,118.1",
    Moranbah North,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"6,148.4",,"4,430.3",,"3,050.7",
    Dawson,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,907.5",,"2,429.1",,"2,483.7",
    Other,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,190.7,
    Grosvenor,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,721.9",,"1,106.3",,71.6,
  South Africa,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"23,839.8",,"30,478.3",,"11,244.2",
    Goedehoop,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"6,066.3",,"6,124.0",,"3,024.5",
    Other,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,"6,707.1",,"2,880.6",
    Zibulo,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,359.3",,"5,152.6",,"2,045.8",
    Greenside,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,845.9",,"4,494.0",,"1,400.9",
    Khwezela,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,760.8",,"6,182.4",,"1,163.4",
    Mafube,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,807.5",,"1,818.2",,729.0,
  Colombia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,586.1",,?,,?,
Number of Employees,,"195,000.00",100.00%,"113,000.00",100.00%,"100,000.00",100.00%,"105,000.00",100.00%,"107,000.00",100.00%,100.00,100.00%,100.00,100.00%,106.00,100.00%,?,,95.00,100.00%,91.00,100.00%,"80,000.00",100.00%,"69,000.00",100.00%,"64,000.00",100.00%,"63,000.00",100.00%,"64,000.00",100.00%,"62,000.00",100.00%
  South Africa,,"118,000.00",60.51%,"77,000.00",68.14%,"76,000.00",76.00%,"79,000.00",75.24%,"83,000.00",77.57%,77.00,77.00%,79.00,79.00%,82.00,77.36%,?,,72.00,75.79%,69.00,75.82%,"61,000.00",76.25%,"52,000.00",75.36%,"47,000.00",73.44%,"45,000.00",71.43%,"45,000.00",70.31%,"41,000.00",66.13%
  South America,,"9,000.00",4.62%,"6,000.00",5.31%,"7,000.00",7.00%,"9,000.00",8.57%,"9,000.00",8.41%,9.00,9.00%,10.00,10.00%,11.00,10.38%,?,,11.00,11.58%,10.00,10.99%,"9,000.00",11.25%,"8,000.00",11.59%,"8,000.00",12.50%,"8,000.00",12.70%,"8,000.00",12.50%,"9,000.00",14.52%
  Other Africa,,"22,000.00",11.28%,"14,000.00",12.39%,"1,000.00",1.00%,"1,000.00",0.95%,"1,000.00",0.93%,1.00,1.00%,1.00,1.00%,2.00,1.89%,?,,4.00,4.21%,4.00,4.40%,"4,000.00",5.00%,"4,000.00",5.80%,"4,000.00",6.25%,"4,000.00",6.35%,"5,000.00",7.81%,"5,000.00",8.06%
  Other Europe,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,000.00",2.50%,"2,000.00",2.90%,"2,000.00",3.13%,"2,000.00",3.17%,"2,000.00",3.13%,"3,000.00",4.84%
  Australia &  Asia,,"5,000.00",2.56%,"4,000.00",3.54%,"4,000.00",4.00%,"5,000.00",4.76%,"4,000.00",3.74%,4.00,4.00%,4.00,4.00%,4.00,3.77%,?,,4.00,4.21%,?,,"3,000.00",3.75%,"2,000.00",2.90%,"2,000.00",3.13%,"3,000.00",4.76%,"3,000.00",4.69%,"3,000.00",4.84%
  North America,,"1,000.00",0.51%,?,,"1,000.00",1.00%,"1,000.00",0.95%,"1,000.00",0.93%,1.00,1.00%,?,,1.00,0.94%,?,,2.00,2.11%,2.00,2.20%,"1,000.00",1.25%,"1,000.00",1.45%,"1,000.00",1.56%,"1,000.00",1.59%,"1,000.00",1.56%,"1,000.00",1.61%
  Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,4.00,4.40%,?,,?,,?,,?,,?,,?,
  Europe,,"40,000.00",20.51%,"12,000.00",10.62%,"11,000.00",11.00%,"10,000.00",9.52%,"9,000.00",8.41%,8.00,8.00%,6.00,6.00%,6.00,5.66%,?,,2.00,2.11%,2.00,2.20%,?,,?,,?,,?,,?,,?,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
